童年 ; Childhood
童年 ; Babyhood
時代 ; era
時代 ; epoch
時代 ; age 
時代 ; period 
難忘 ; memorable
難忘 ; unforgettable
難忘 ; indelibility
的 ; of: 
的 ; aim 
的 ; really and truly: 
的 ; -self
的 ;
的 ; possessive particle
的 ; ablative cause suffix
記憶 ; memory
記憶 ; remember
記憶 ; photograph
就是 ; if 
就是 ; even
就是 ; exactly
就是 ; precisely 
就是 ; just like 
就是 ; very 
就是 ; in the same way 
就 ; on
就 ; concerning
就 ; approach
就 ; enter
就 ; move towards
就 ; undertake
就 ; as early as
就 ; as soon as
就 ; that
就 ; already
就 ; at once
就 ; right away
就 ; only
就 ; with regard
就 ; right off
就 ; then
過年 ; New Year
幫 ; help
幫 ; aid
幫 ; assist
幫 ; befriend
幫 ; bestead
幫 ; serve
幫 ; support
幫 ; band
幫 ; cohort
幫 ; coterie
幫 ; group
幫 ; horde
幫 ; junto
幫 ; outer leaf
幫 ; party
幫 ; side
幫 ; sodality
幫 ; upper
幫 ; seasonal
口 ; mouth
口 ; opening
口 ; orifice 
口 ; os
口 ; Measure word in Chinese 
口 ; spoken
對於 ; for
對於 ; about
對於 ; in regard to 
對於 ; with regard to 
對於 ; regarding
對於 ; toward
對於 ; towards 
對於 ; As far as is concerned 
政府 ; government
決策 ; make a strategic decision 
決策 ; policy decision
決策 ; follow a policy 
者 ; person
者 ; -er
者 ; -ist
者 ; -or 
和 ; and
和 ; draw
和 ; tie 
和 ; chime in 
和 ; compose a poem in reply
和 ; join in the singing 
和 ; write a poem in reply 
和 ; mix 
和 ; write a poem in reply 
和 ; blend
和 ; peace 
和 ; sum
和 ; summation 
和 ; together 
和 ; harmonious 
和 ; kind 
公司 ; company
公司 ; body corporate 
公司 ; corporation 
公司 ; firm 
公司 ; incorporated 
高 ; high 
高 ; expensive 
高 ; high-priced
高 ; high-up 
高 ; loud
高 ; tall
高 ; lofty 
高 ; high 
高 ;loftily 
高 ; highness
高 ; loftiness
高 ; height 
高 ; your 
管 ; tube
管 ; pipe 
管 ; canal 
管 ; duct 
管 ; control 
管 ; fistula 
管 ; vessel 
管 ; care 
管 ; manage 
管 ; control 
管 ; envelop 
管 ; look after 
管 ; run 
管 ; swathe 
來 ; come
來 ; arrive
來 ; crop up 
來 ; nigh
來 ; occur
來 ; take place 
來 ; coming
來 ; incoming 
说 ; say
说 ; tell
说 ; reconcile 
说 ; convince 
说 ; expostulate
说 ; lull
说 ; persuade
说 ; reassure
说 ; work on
说 ; come in between
说 ; lecture
说 ; talk 
说 ; admonish
说 ; reprimand
说 ; reproach
说 ; upbraid
说 ; speak
说 ; tell off
说 ; meditate
说 ; dressing down
说 ; intermediary
说 ; rebuke 
说 ; reproof
说 ; reproval
说 ; reproach
说 ; talking
说 ; wigging
说 ; spoken 
人民幣 ; renminbi 
的 ; of:
的 ; aim 
的 ; really and truly:
的 ; -self
的 ;
的 ; possessive particle
的 ; ablative cause suffix
疲弱 ; weak 
越來 ; increasingly 
越令 ; The more so 
人 ; people
人 ; person
人 ; man 
人 ; human being
人 ; Palestinian 
人 ; adult
人 ; character
人 ; folk 
人 ; adult 
人 ; character
人 ; folk 
人 ; grown-up
人 ; hand
人 ; manpower
人 ; personality 
擔心 ; worry 
擔心 ; be anxious
擔心 ; worrit
擔心 ; worried
擔心 ; anxious
擔心 ; uneasy
擔心 ; trepidation 
由于 ; due to 
由于 ; because of
由于 ; owing to 
由于 ; as a result of 
由于 ;thanks to 
语言 ; spoken language
缩减 ; reduce
缩减 ; cut
缩减 ; bobtail
缩减 ; clip
缩减 ; prune
缩减 ; trim 
又 ; also
又 ; again
又 ; once again 
又 ; both … and 
不 ; not
不 ; no
不 ; no
不 ; non-
不 ; a-
不 ; il-
不 ; im-
不 ; in-
不 ; ir-
不 ; un-
加 ; plus
加 ; add
加 ; sum
加 ; increase 
加 ; put in 
加 ; subjoin 
标点 ; punctuation
标点 ; punctuate 
笑话 ; joke
笑话 ; jest
笑话 ; drollery
频出 ; frequent 
这样 ; such
这样 ; so 
这样 ; this way
这样 ; like this 
的 ; of: 
的 ; aim 
的 ; really and truly: 
的 ; -self
的 ;
的 ; possessive particle
的 ; ablative cause suffix
女人 ; woman
女人 ; feminine
女人 ; she
总 ; total
总 ; overall
总 ; general
总 ; always
总 ; assemble
总 ; gather
总 ; chief 
总 ; head
是 ; be
是 ; be
是 ; exist
是 ; correct
是 ; right
让 ; let
让 ; allow
让 ; make
让 ; concede
让 ; yield
让 ; fall back
让 ; give up
让 ; give ground
让 ; invite
让 ; offer
让 ; make way 
揣摩 ; try to figure out
揣摩 ; try to fathom
不 ; not
不 ; no
不 ; no
不 ; non-
不 ; a-
不 ; il-
不 ; im-
不 ; in-
不 ; ir-
不 ; un-
透 ; through
透 ; thoroughly 
透 ; fully 
透 ; appear 
透 ; pass through
透 ; penetrate
透 ; tell secretly 
透 ; seep through 
透 ; show 
透 ; saturating
我 ; I
想 ; think
想 ; want
把 ; grasp
